ticker symbol,date,stockShares,stockPrice,revenue,cogs,quantity,temperature,statement
AAPL,2020-01-22,866.8832934426872,1206.3324536736054,295.48295328352185,282.85172365290606,19.042495424168166,18.501153341432456,"Sit conubia diam vivamus a arcu dapibus in at nec, nisi amet,"
AAPL,2020-03-13,866.8832934426872,1601.1495667247507,332.4223205035689,239.6413840659998,12.749160902940245,-17.85067626261109,"Metus bibendum mus nostra sodales consectetur, mauris. In, nulla sit ad himenaeos"
aapl,2020-03-26,866.8832934426872,966.5419882701342,290.35823664255224,346.9653037419031,37.33739139757874,-18.727952488399403,"Ligula quisque erat, nulla in. Platea, aenean at "
AAPL,2020-03-30,866.8832934426872,1047.8334630000813,295.50700235310467,325.6974575965705,29.89985041813925,-19.209062744092343,"Dictumst ultrices penatibus, viverra pellentesque, co"
aapl,2020-03-27,866.8832934426872,1004.4032679954032,263.6693745032083,303.23949173060885,20.762000284171545,-19.731995122162328,"Dis, accumsan senectus nisl eu at hendrerit. Sociis"
AAPL,2020-03-31,866.8832934426872,1207.6201146939652,323.51345030976444,309.31560092594344,23.786200293604033,-18.169980445829342,Egestas malesuada ante vitae. Viverra aenean velit suscipit r
aapl,2020-03-12,866.8832934426872,1082.9995315983374,266.5623220560055,284.2566503000577,18.391049858467333,19.531835960217073,"Ipsum maximus augue vitae class nisl risus, aenean morb"
aapl,2020-03-10,866.8832934426872,1161.5849752857273,313.18250895017707,311.30560977231124,24.904190288604912,18.934109228964044,"Convallis, tincidunt id vehicula curae nullam tortor odio f"
AAPL,2020-03-11,866.8832934426872,1038.9752215701333,288.7648799690776,320.9456164771704,28.648609132413863,-19.025248450964682,"Lacus eget massa feugiat vel, est a non neque. Sem he"
aapl,2020-01-23,866.8832934426872,1286.5894747997008,334.8080497466634,300.490131486766,21.770895878497484,17.337037266167762,"Et lobortis, tristique nec amet bibendum, sociis at dolor imperdi"
aapl,2020-04-13,866.8832934426872,835.4828381055363,241.93132264273558,334.5097775624393,32.853315832496875,-20.36869537729953,"Lorem, quis quam himenaeos sed pretium. Qu"
