weight,trans,disp,mpg,likes
2629.352833839393,manual,262.738088001918,35.14244285684463,550
3180.7115636718913,auto,314.8990951608366,26.440938758547116,24
2800.6498803280615,auto,278.27131914694354,28.46078548983957,50
2654.0024998555127,auto,270.853969843519,33.87481723645133,155
3248.800905560394,auto,328.69343068327385,26.524794129721077,21
3359.4189018016395,auto,332.55140422886643,22.647721831309553,10
3288.655688523492,auto,324.91929214688736,29.450321792448435,40
3206.183893203441,auto,324.28614345041126,24.867644722508995,16
3106.6202092607095,auto,304.6324671677065,27.534196635852936,32
3752.4444061087715,auto,382.8900452188586,27.855209444455333,18
3003.1560647139463,auto,300.46756867367117,23.26764584846357,13
3656.1100560917516,auto,360.7739718869029,23.215078840409603,9
3216.1879996226335,manual,321.59610948135014,33.26504931715746,297
2972.8765181070494,auto,298.3073089755978,28.51000246676596,38
2642.350056097065,manual,264.5674212737418,36.96970023838936,815
3523.7574672325827,manual,350.8802092753367,31.1915484432549,172
3606.5822211272107,auto,363.8427681498849,25.55490913745325,14
3069.3665468844274,auto,303.8324854416218,25.445076663021347,20
3242.896505517142,auto,325.8719829506624,30.424005896211007,49
3315.2091056304116,auto,330.9347372089164,25.610234685495488,17
3142.135196913438,auto,319.69731537378107,31.04954758085234,54
3013.609394114836,auto,299.74644545382614,31.24574131791789,68
3033.5571294994934,auto,303.87138389945284,30.21587161607968,55
3415.4227277326786,auto,338.25702035244905,28.480479665831748,30
2733.909602149564,auto,267.82363971920165,30.626298961960636,82
3081.770161750502,manual,308.9299859046951,32.698257345317394,274
3386.8403236717722,manual,339.77646096407614,31.773833847394,198
2701.93838339547,auto,269.1052867414314,34.17849786124384,143
3114.4121798709725,manual,315.3742757244527,34.84925916516959,410
2935.1167997026564,auto,293.32424282904543,26.97246392691775,30
2911.1685515591194,auto,290.80184026699965,29.066573481840614,47
3733.7308722422445,manual,373.1137592490357,32.68594574334185,216
3308.4192933263294,auto,330.87436806006383,28.338503057307157,29
3688.8401780021763,auto,370.695142781551,25.22076067348083,12
3174.1935679406515,auto,324.364735603876,29.706246308179217,42
3552.5329232946583,auto,352.5237582021886,23.298693811187064,9
2974.18432450712,auto,298.34804180465505,26.277086606681667,27
2953.8373317354394,auto,290.60310164777604,28.022237293076028,39
3308.8418485415855,auto,340.08198582385177,25.266716930391723,17
3015.0625542407756,auto,304.2598208279727,31.245896775528966,65
3361.0820491794566,auto,337.46839828403546,24.58252461359187,15
3285.0189467084624,auto,328.83233171717535,30.459725067892844,48
3291.8235433610034,auto,325.44580775664747,25.63577461844242,18
3185.553939110895,auto,316.39645416007363,27.88031659182569,30
3307.825625692521,auto,334.9844668686007,28.044110584758243,30
2784.5263329145137,auto,279.29258069845747,29.001597114580967,52
3855.983202998264,auto,385.49639287608727,22.24279483738741,6
2570.1442059970036,auto,254.96740094123277,31.27470635772044,102
2925.008571084041,manual,294.39799602168745,31.604326051978614,233
3302.348414636231,manual,336.39681518431917,30.20658700022234,153
3398.13622405145,auto,340.46311072475504,26.70688084601854,20
2958.0506073118486,manual,292.7096025749601,28.536604373979465,122
3305.130864426206,manual,336.71679124987224,32.810838823867606,239
2773.832666356104,auto,274.9139305654245,28.055223594908824,44
2493.141214811737,auto,247.99191182629855,35.436521606696274,263
3137.744071973756,auto,315.46382478063623,28.995160125133772,38
2990.026508373767,auto,301.9937189392293,29.757647298218117,54
